English,Telugu
Any drugs in here?,ఇక్కడ ఏదైనా మందులు?
"You're Meat Loaf, or you're made of meat loaf?","మీరు మీట్ లోఫ్, లేదా మీరు మాంసం రొట్టె తయారు ఉంటాయి?"
My father fell off a cliff chasing a wool-blind ewe.,నా తండ్రి ఒక ఉన్ని బ్లైండ్ ఆడగొర్రె వెంటాడుకునే ఒక కొండ తెగిపోయే.
"- NO, HE'S NOT MY DAD.","- NO, అతను నా DAD కాదు."
I told her we rest on Sundays.,నేను ఆదివారాలు ఆమె మేము మిగిలిన చెప్పారు.
It's Little Shop of Horrors meets Sling Blade.,ఇది స్లింగ్ బ్లేడ్ కలుస్తుంది హారర్స్ ది లిటిల్ షాప్ అఫ్ ఉంది.
- I am available.,- నేను అందుబాటులో ఉన్నాను.
You sent these?,ఈ పంపిన?
I ain't much at guessing games.,నేను ఊహించడం గేమ్స్ వద్ద చాలా కాదు.
It's really silly of me.,ఇది నా నిజంగా వెర్రి ఉంది.
"Mike, do I get to ride with you?","మైక్, నేను మీతో తొక్కడం వస్తుందా?"
What do you fucking think?,మీరు ఏమి ఆలోచిస్తాడు నాశనం లేదు?
I know that woman you love also is ready to forgive you.,నేను మీరు ప్రేమ మహిళ కూడా మీరు క్షమించి సిద్ధంగా ఉంది తెలుసు.
"Don't do it, man.",", మనిషి పని చేయవద్దు."
It'll be okay.,ఇది ఓకే ఉంటాం.
Sergeant.,సార్జెంట్.
Feels like there's something in there.,అక్కడ ఏదో ఉన్నట్లు అనిపిస్తుంది.
Some sort of medicine?,వైద్య కొన్ని విధమైన
"Daddy, you promise Mr. Gigglesworth will be better by bedtime?","డాడీ, మీరు మిస్టర్ Gigglesworth నిద్రవేళ ద్వారా మంచి ఉంటుంది వాగ్దానం?"
"All right, look, let's just kick a few field goals.","అన్ని కుడి, లుక్, let'sjust కిక్ కొన్ని ఫీల్డ్ గోల్."
You are so much better than that.,మీరు కనుక కంటే మెరుగ్గా ఉన్నాయి.
"Now, get some sleep.",ఇప్పుడు కొన్ని నిద్ర పొందుటకు.
You gotta get me to Charleston.,మీరు చార్లెస్టన్ నాకు పొందుటకు చూడాలి.
"Okay. Well, let me do it some more.","బాగా, నాకు అది కొన్ని మరింత తెలియజేసేలా."
I got scythes.,నేను scythes వచ్చింది.
"All right, what's up, Bagheera?","అన్ని కుడి, ఏమి ఉంది, Bagheera?"
I want it.,నేను మీరు.
"WELL, IT'S A BIT ODD NOT TO.","WELL, అది కొంచెం ఆడ్ యొక్క."
We are on the move.,మేముఎత్తుగడలోఉంటాయి
"- ""Hangman."" - ""Hangman.""","- ""ఉరితీయువాడు."" - ""ఉరితీయువాడు."""
Notice anything strange about your boss?,మీ బాస్ గురించి నోటీసు ఏదైనా వింత ?
I think he's asking you out.,నేను అతను మీరు అడుగుతున్నారు అనుకుంటున్నాను.
I have a friend named Vito.,నేను వీటో అనే స్నేహితుడు కలిగి.
Never a doubt.,ఎప్పుడూ ఒక సందేహం.
"Hey, hey!","హే, HEV!"
"Hey, hey.","హే, హే."
- That's my boy.,నా బాయ్.
You select a hypnotherapist at random.,మీరుయాదృచ్ఛికంగా ఒక hypnotherapist ఎంచుకోండి
"Ladies and gentlemen, meet your new bus driver.","లేడీస్ అండ్ జెంటిల్మెన్, మీ కొత్త బస్సు డ్రైవర్ కలిసే."
How much do I get out of it?,ఎంత నేను బయటకు చెయ్యాలి?
No. There's only one man who could authorise a strike like that.,నం వలె ఒక సమ్మెను జాతులకు మాత్రమే ఒక వ్యక్తి ఉంది.
Stick your nose out.,మీ ముక్కు బయటకు.
Then I will execute your officials one by one... and their blood will be on your hands.,అప్పుడు నేను ఒక ద్వారా మీ అధికారులు ఒక అమలు అవుతుంది... మరియు వారి రక్త మీ చేతుల్లో ఉంటుంది.
Forward march!,ఫార్వర్డ్ మార్చి!
"Remember, do not be a hero.","గుర్తుంచుకో, ఒక వాడని లేదు."
Have you heard of my name at all?,మీరు అన్ని నా పేరు యొక్క విన్న?
(VALENTINE HUMMING),(VALENTINE కూనిరాగం)
- It's a couple people coming by.,- ఇది ద్వారా వచ్చిన జంట మంది.
- Let's get out of here.,- యొక్క ఇక్కడ బయటకు పొందండి లెట్.
"""than he who lays down his life for his friend.""",""". అతని స్నేహితుడు తన జీవితం డౌన్ సూచిస్తుంది అతను కంటే """
Good night.,గుడ్ రాత్రి.
"So, where are we going for this interrogation?","సో, ఇక్కడ మేము ఈ విచారణ కోసం వెళ్తున్నారు?"
High-end packaging.,ఉన్నత ప్యాకేజింగ్.
Naked.,నేకెడ్.
"I mean, Zachary Niles has a respectable reputation.","నా ఉద్దేశ్యం, జాకారి నైల్స్ ఒక గౌరవనీయమైన పేరున్నది."
- HE DOESN'T USE ONE.,- అతను ఒక ఉపయోగించదు.
Indeed.,నిజానికి.
So where are we going?,సో అక్కడ వెళ్తున్నారు?
"He's just gonna jump off of here, and then we'll leave.","అతను కేవలం, ఇక్కడ యొక్క దూకుతారు ఆపై మేము చెప్పను అని చెప్పేవాడు."
Spends weeks on end baby-sitting little missy here...,వారాల గడిపాడు ముగింపు పిల్లల్ని కూర్చొని ఇక్కడ కొద్దిగా missy...
Is that right?,అవునా?
"You know what, man?","మీరు ఏమి, మనిషి తెలుసు?"
[ALL CHEERING],[ALL ప్రోత్సహిస్తున్నారు]
Who called you?,ఎవరు మీరు అని?
How long you guys been married?,మీరు అబ్బాయిలు ఎంత వివాహం?
I'm sure you'll be all right.,నేను మీరు అన్ని కుడి ఉంటుంది ఖచ్చితంగా వద్ద.
Boys.,బాయ్స్.
