image,caption
1001773457_577c3a7d70.jpg#0,A black dog and a spotted dog are fighting
1001773457_577c3a7d70.jpg#1,A black dog and a tri-colored dog playing with each other on the road .
1001773457_577c3a7d70.jpg#2,A black dog and a white dog with brown spots are staring at each other in the street .
1001773457_577c3a7d70.jpg#3,Two dogs of different breeds looking at each other on the road .
1001773457_577c3a7d70.jpg#4,Two dogs on pavement moving toward each other .
1003163366_44323f5815.jpg#0,A man lays on a bench while his dog sits by him .
1003163366_44323f5815.jpg#1,A man lays on the bench to which a white dog is also tied .
1003163366_44323f5815.jpg#2,a man sleeping on a bench outside with a white and black dog sitting next to him .
1003163366_44323f5815.jpg#3,A shirtless man lies on a park bench with his dog .
1003163366_44323f5815.jpg#4,man laying on bench holding leash of dog sitting on ground
1007129816_e794419615.jpg#0,A man in an orange hat starring at something .
1007129816_e794419615.jpg#1,A man wears an orange hat and glasses .
1007129816_e794419615.jpg#2,A man with gauges and glasses is wearing a Blitz hat .
1007129816_e794419615.jpg#3,A man with glasses is wearing a beer can crocheted hat .
1007129816_e794419615.jpg#4,The man with pierced ears is wearing glasses and an orange hat .
1015118661_980735411b.jpg#0,A boy smiles in front of a stony wall in a city .
1015118661_980735411b.jpg#1,A little boy is standing on the street while a man in overalls is working on a stone wall .
1015118661_980735411b.jpg#2,A young boy runs aross the street .
1015118661_980735411b.jpg#3,A young child is walking on a stone paved street with a metal pole and a man behind him .
1015118661_980735411b.jpg#4,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
101654506_8eb26cfb60.jpg#0,A brown and white dog is running through the snow .
101654506_8eb26cfb60.jpg#1,A dog is running in the snow
101654506_8eb26cfb60.jpg#2,A dog running through snow .
101654506_8eb26cfb60.jpg#3,a white and brown dog is running through a snow covered field .
101654506_8eb26cfb60.jpg#4,The white and brown dog is running over the surface of the snow .
101669240_b2d3e7f17b.jpg#0,A man in a hat is displaying pictures next to a skier in a blue hat .
101669240_b2d3e7f17b.jpg#1,A man skis past another man displaying paintings in the snow .
101669240_b2d3e7f17b.jpg#2,A person wearing skis looking at framed pictures set up in the snow .
101669240_b2d3e7f17b.jpg#3,A skier looks at framed pictures in the snow next to trees .
101669240_b2d3e7f17b.jpg#4,Man on skis looking at artwork for sale in the snow
1016887272_03199f49c4.jpg#0,A collage of one person climbing a cliff .
1016887272_03199f49c4.jpg#1,A group of people are rock climbing on a rock climbing wall .
1016887272_03199f49c4.jpg#2,A group of people climbing a rock while one man belays
1016887272_03199f49c4.jpg#3,Seven climbers are ascending a rock face whilst another man stands holding the rope .
1016887272_03199f49c4.jpg#4,Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1019077836_6fc9b15408.jpg#0,A brown dog chases the water from a sprinkler on a lawn .
1019077836_6fc9b15408.jpg#1,a brown dog plays with the hose .
1019077836_6fc9b15408.jpg#2,A brown dog running on a lawn near a garden hose
1019077836_6fc9b15408.jpg#3,A dog is playing with a hose .
1019077836_6fc9b15408.jpg#4,Large brown dog running away from the sprinkler in the grass .
1019604187_d087bf9a5f.jpg#0,A dog prepares to catch a thrown object in a field with nearby cars .
1019604187_d087bf9a5f.jpg#1,A white dog is about to catch a yellow ball in its mouth .
1019604187_d087bf9a5f.jpg#2,A white dog is about to catch a yellow dog toy .
1019604187_d087bf9a5f.jpg#3,A white dog is ready to catch a yellow ball flying through the air .
1019604187_d087bf9a5f.jpg#4,A white dog running after a yellow ball
1020651753_06077ec457.jpg#0,a black and white dog jumping in the air to get a toy .
1020651753_06077ec457.jpg#1,A black and white dog jumps up towards a yellow toy .
1020651753_06077ec457.jpg#2,A dog leaps to catch a ball in a field .
1020651753_06077ec457.jpg#3,A white dog is trying to catch a ball in midair over a grassy field .
1020651753_06077ec457.jpg#4,The white dog is playing in a green field with a yellow toy .
1022454428_b6b660a67b.jpg#0,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller ."
1022454428_b6b660a67b.jpg#1,A couple sit on the grass with a baby and stroller .
1022454428_b6b660a67b.jpg#2,A couple with their newborn baby sitting under a tree facing a lake .
1022454428_b6b660a67b.jpg#3,A man and woman care for an infant along the side of a body of water .
1022454428_b6b660a67b.jpg#4,Couple with a baby sit outdoors next to their stroller .
102351840_323e3de834.jpg#0,A man drilling a hole in the ice .
102351840_323e3de834.jpg#1,A man is drilling through the frozen ice of a pond .
102351840_323e3de834.jpg#2,A person in the snow drilling a hole in the ice .
102351840_323e3de834.jpg#3,A person standing on a frozen lake .
102351840_323e3de834.jpg#4,Two men are ice fishing .
103106960_e8a41d64f8.jpg#0,A boy with a stick kneeling in front of a goalie net
103106960_e8a41d64f8.jpg#1,A child in a red jacket playing street hockey guarding a goal .
103106960_e8a41d64f8.jpg#2,A young kid playing the goalie in a hockey rink .
103106960_e8a41d64f8.jpg#3,A young male kneeling in front of a hockey goal with a hockey stick in his right hand .
103106960_e8a41d64f8.jpg#4,"Hockey goalie boy in red jacket crouches by goal , with stick ."
103195344_5d2dc613a3.jpg#0,A man in black is sitting next to a modern art structure in front of a glass building .
103195344_5d2dc613a3.jpg#1,A man sits and reads a newspaper by a sculpture outside of an office building .
103195344_5d2dc613a3.jpg#2,a man sits near a large statue .
103195344_5d2dc613a3.jpg#3,A man sitting in front of a metal sculpture in front of a building .
103195344_5d2dc613a3.jpg#4,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
1032460886_4a598ed535.jpg#0,a man is standing in front of a skyscraper
